CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
557.0,87.2,78.4,62.59,37.7,0.0,58.17,2.0
557.0,87.2,78.4,62.59,37.7,0.0,58.17,2.0
552.0,94.2,84.8,62.59,37.7,0.0,58.17,2.0
552.0,94.2,84.8,62.59,37.7,0.0,58.17,2.0
527.0,90.9,81.9,62.59,37.7,0.0,58.17,2.0
554.0,70.5,63.2,62.59,37.7,0.0,58.17,2.0
542.0,75.2,67.3,62.59,37.7,0.0,58.17,2.0
569.0,82.0,73.7,62.59,37.7,0.0,58.17,2.0
533.0,81.5,73.0,62.59,37.7,0.0,58.17,2.0
466.0,93.5,84.1,62.59,37.7,0.0,58.17,1.0
538.0,57.7,51.5,62.59,37.7,0.0,58.17,2.0
538.0,57.7,51.5,62.59,37.7,0.0,58.17,2.0
562.0,56.1,50.2,62.59,37.7,0.0,58.17,2.0
548.0,81.2,72.7,62.59,37.7,0.0,58.17,2.0
548.0,81.2,72.7,62.59,37.7,0.0,58.17,2.0
549.0,70.1,62.9,62.59,37.7,0.0,58.17,2.0
549.0,70.1,62.9,62.59,37.7,0.0,58.17,2.0
479.0,74.8,67.2,62.59,37.7,0.0,58.17,2.0
479.0,74.8,67.2,62.59,37.7,0.0,58.17,2.0
511.0,82.2,74.0,63.48,36.33,0.0,53.41,2.0
511.0,82.2,74.0,63.48,36.33,0.0,53.41,2.0
533.0,70.9,63.8,62.59,37.7,0.0,58.17,2.0
539.0,64.3,57.7,62.59,37.7,0.0,58.17,2.0
440.0,67.4,60.8,62.59,37.7,0.0,58.17,1.0
482.0,50.9,45.7,62.59,37.7,0.0,58.17,2.0
497.0,46.7,42.0,62.59,37.7,0.0,58.17,2.0
497.0,46.7,42.0,62.59,37.7,0.0,58.17,2.0
489.0,48.2,43.4,62.59,37.7,0.0,58.17,1.0
489.0,48.2,43.4,62.59,37.7,0.0,58.17,1.0
493.0,52.5,47.1,62.59,37.7,0.0,58.17,2.0
518.0,41.3,37.1,62.59,37.7,0.0,58.17,2.0
498.0,50.7,45.7,63.48,36.33,0.0,53.41,2.0
506.0,54.7,49.1,63.48,36.33,0.0,53.41,2.0
448.0,50.5,45.4,63.48,36.33,0.0,53.41,1.0
506.0,45.6,41.0,63.48,36.33,0.0,53.41,2.0
528.0,32.7,29.3,63.48,36.33,0.0,53.41,2.0
528.0,32.7,29.3,63.48,36.33,0.0,53.41,2.0
555.0,40.6,36.5,63.48,36.33,0.0,53.41,2.0
508.0,76.5,68.1,63.48,36.33,0.0,53.41,1.0
508.0,76.5,68.1,63.48,36.33,0.0,53.41,1.0
516.0,64.8,56.6,63.48,36.33,0.0,53.41,2.0
516.0,64.8,56.6,63.48,36.33,0.0,53.41,2.0
520.0,53.0,46.2,63.48,36.33,0.0,53.41,2.0
520.0,53.0,46.2,63.48,36.33,0.0,53.41,2.0
497.0,51.6,45.6,63.48,36.33,0.0,53.41,2.0
498.0,55.6,49.6,63.48,36.33,0.0,53.41,2.0
475.0,57.7,50.9,63.48,36.33,0.0,53.41,1.0
479.0,50.2,42.0,63.48,36.33,0.0,53.41,1.0
491.0,50.0,44.6,63.48,36.33,0.0,53.41,2.0
498.0,45.8,40.9,63.48,36.33,0.0,53.41,2.0
498.0,45.8,40.9,63.48,36.33,0.0,53.41,2.0
454.0,45.2,40.5,63.48,36.33,0.0,53.41,1.0
420.0,44.0,39.5,63.48,36.33,0.0,53.41,1.0
420.0,44.0,39.5,63.48,36.33,0.0,53.41,1.0
439.0,52.9,47.1,63.48,36.33,0.0,53.41,1.0
439.0,52.9,47.1,63.48,36.33,0.0,53.41,1.0
400.0,42.4,38.0,63.48,36.33,0.0,53.41,1.0
400.0,42.4,38.0,63.48,36.33,0.0,53.41,1.0
417.0,38.3,34.4,63.48,36.33,0.0,53.41,1.0
417.0,38.3,34.4,63.48,36.33,0.0,53.41,1.0
430.0,35.3,31.5,63.48,36.33,0.0,53.41,1.0
479.0,32.5,29.2,63.48,36.33,0.0,53.41,1.0
552.0,29.6,25.2,63.48,36.33,0.0,53.41,2.0
555.0,35.8,31.4,63.48,36.33,0.0,53.41,2.0
534.0,34.2,30.7,63.48,36.33,0.0,53.41,2.0
534.0,34.2,30.7,63.48,36.33,0.0,53.41,2.0
492.0,33.3,29.8,63.48,36.33,0.0,53.41,2.0
492.0,33.3,29.8,63.48,36.33,0.0,53.41,2.0
480.0,32.0,28.6,63.48,36.33,0.0,53.41,1.0
481.0,31.3,27.9,63.48,36.33,0.0,53.41,2.0
476.0,33.2,29.8,63.48,36.33,0.0,53.41,1.0
428.0,32.0,28.5,63.48,36.33,0.0,53.41,1.0
464.0,32.3,28.8,63.48,36.33,0.0,53.41,1.0
475.0,30.4,26.5,63.48,36.33,0.0,53.41,1.0
495.0,32.3,29.1,63.48,36.33,0.0,53.41,2.0
504.0,31.4,28.1,63.48,36.33,0.0,53.41,2.0
472.0,30.5,27.3,63.48,36.33,0.0,53.41,1.0
472.0,30.5,27.3,63.48,36.33,0.0,53.41,1.0
471.0,29.2,26.1,63.48,36.33,0.0,53.41,1.0
471.0,29.2,26.1,63.48,36.33,0.0,53.41,1.0
442.0,27.8,24.3,63.48,36.33,0.0,53.41,1.0
426.0,44.1,39.3,63.48,36.33,0.0,53.41,1.0
400.0,44.0,35.1,63.48,36.33,0.0,53.41,1.0
400.0,39.6,31.1,63.48,36.33,0.0,53.41,1.0
400.0,33.7,26.5,63.48,36.33,0.0,53.41,1.0
400.0,33.7,26.5,63.48,36.33,0.0,53.41,1.0
400.0,26.6,22.4,63.48,36.33,0.0,53.41,1.0
400.0,26.6,22.4,63.48,36.33,0.0,53.41,1.0
400.0,26.0,19.8,63.48,36.33,0.0,53.41,1.0
400.0,24.6,18.7,63.48,36.33,0.0,53.41,1.0
400.0,19.5,15.9,63.48,36.33,0.0,53.41,1.0
400.0,19.1,15.2,63.48,36.33,0.0,53.41,1.0
400.0,18.0,12.4,63.48,36.33,0.0,53.41,1.0
400.0,18.0,12.4,63.48,36.33,0.0,53.41,1.0
400.0,16.8,11.8,63.48,36.33,0.0,53.41,1.0
400.0,16.8,11.8,63.48,36.33,0.0,53.41,1.0
400.0,13.7,10.2,63.48,36.33,0.0,53.41,1.0
400.0,19.6,10.3,63.48,36.33,0.0,53.41,1.0
400.0,20.4,9.0,63.48,36.33,0.0,53.41,1.0
400.0,20.5,9.4,63.48,36.33,0.0,53.41,1.0
400.0,29.8,8.3,63.48,36.33,0.0,53.41,1.0
400.0,29.8,8.3,63.48,36.33,0.0,53.41,1.0
400.0,30.4,8.7,63.48,36.33,0.0,53.41,1.0
400.0,30.4,8.7,63.48,36.33,0.0,53.41,1.0
400.0,48.2,9.5,63.48,36.33,0.0,53.41,1.0
400.0,48.2,9.5,63.48,36.33,0.0,53.41,1.0
400.0,33.6,8.9,63.48,36.33,0.0,53.41,1.0
400.0,33.6,8.9,63.48,36.33,0.0,53.41,1.0
400.0,47.3,10.8,63.48,36.33,0.0,53.41,1.0
400.0,50.6,12.6,63.48,36.33,0.0,53.41,1.0
421.0,47.6,12.5,63.48,36.33,0.0,53.41,1.0
421.0,47.6,12.5,63.48,36.33,0.0,53.41,1.0
408.0,47.3,16.6,63.48,36.33,0.0,53.41,1.0
432.0,48.5,14.1,63.48,36.33,0.0,53.41,1.0
432.0,48.5,14.1,63.48,36.33,0.0,53.41,1.0
471.0,43.8,14.2,63.48,36.33,0.0,53.41,1.0
471.0,43.8,14.2,63.48,36.33,0.0,53.41,1.0
455.0,55.2,15.5,63.48,36.33,0.0,53.41,1.0
452.0,52.3,14.6,63.48,36.33,0.0,53.41,1.0
400.0,54.6,16.2,63.48,36.33,0.0,53.41,1.0
419.0,45.9,12.9,71.53,33.59,0.0,52.45,1.0
430.0,46.7,14.8,71.53,33.59,0.0,52.45,1.0
436.0,45.2,14.7,71.53,33.59,0.0,52.45,1.0
436.0,45.2,14.7,71.53,33.59,0.0,52.45,1.0
476.0,41.7,15.0,71.53,33.59,0.0,52.45,1.0
476.0,41.7,15.0,71.53,33.59,0.0,52.45,1.0
451.0,43.1,19.5,71.53,33.59,0.0,52.45,1.0
463.0,39.7,16.5,71.53,33.59,0.0,52.45,1.0
492.0,43.3,17.0,71.53,33.59,0.0,52.45,2.0
492.0,43.3,17.0,71.53,33.59,0.0,52.45,2.0
510.0,41.3,16.3,71.53,33.59,0.0,52.45,2.0
510.0,41.3,16.3,71.53,33.59,0.0,52.45,2.0
541.0,50.9,15.9,71.53,33.59,0.0,52.45,2.0
541.0,50.9,15.9,71.53,33.59,0.0,52.45,2.0
551.0,46.0,16.2,71.53,33.59,0.0,52.45,2.0
551.0,46.0,16.2,71.53,33.59,0.0,52.45,2.0
601.0,44.6,14.7,71.53,33.59,0.0,52.45,2.0
592.0,42.4,14.4,71.53,33.59,0.0,52.45,2.0
608.0,36.4,13.6,71.53,33.59,0.0,52.45,2.0
731.0,33.8,13.2,71.53,33.59,0.0,52.45,2.0
1045.0,273.8,216.0,71.53,33.59,0.0,52.45,4.0
1045.0,273.8,216.0,71.53,33.59,0.0,52.45,4.0
1152.0,1134.9,841.8,71.53,33.59,0.0,52.45,4.0
1152.0,1134.9,841.8,71.53,33.59,0.0,52.45,4.0
1236.0,1999.9,999.9,71.53,33.59,0.0,52.45,4.0
1236.0,1999.9,999.9,71.53,33.59,0.0,52.45,4.0
1207.0,1999.9,999.9,71.53,33.59,0.0,52.45,4.0
1207.0,1999.9,999.9,71.53,33.59,0.0,52.45,4.0
1203.0,1999.9,999.9,71.53,33.59,0.0,52.45,4.0
1231.0,1999.9,999.9,71.53,33.59,0.0,52.45,4.0
1325.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1325.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1384.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1433.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1433.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1417.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1417.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1470.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1524.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1495.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1495.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1574.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1573.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1573.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1634.0,1999.9,999.9,71.53,33.59,0.0,52.45,5.0
1679.0,1679.5,996.2,71.53,33.59,0.0,52.45,5.0
1279.0,1014.0,776.4,71.53,33.59,0.0,52.45,5.0
1279.0,1014.0,776.4,71.53,33.59,0.0,52.45,5.0
1299.0,780.9,637.9,71.53,33.59,0.0,52.45,5.0
1299.0,780.9,637.9,71.53,33.59,0.0,52.45,5.0
1543.0,781.1,650.9,71.53,33.59,0.0,52.45,5.0
1597.0,654.7,551.1,71.53,33.59,0.0,52.45,5.0
1798.0,585.4,496.2,71.53,33.59,0.0,52.45,5.0
1810.0,508.7,426.9,71.53,33.59,0.0,52.45,5.0
1810.0,508.7,426.9,71.53,33.59,0.0,52.45,5.0
1858.0,432.7,341.2,71.53,33.59,0.0,52.45,5.0
1858.0,432.7,341.2,71.53,33.59,0.0,52.45,5.0
1925.0,355.7,276.1,71.53,33.59,0.0,52.45,5.0
1850.0,272.2,211.2,71.53,33.59,0.0,52.45,5.0
1951.0,201.7,158.1,71.53,33.59,0.0,52.45,5.0
1951.0,201.7,158.1,71.53,33.59,0.0,52.45,5.0
2074.0,158.6,128.8,71.53,33.59,0.0,52.45,5.0
2074.0,158.6,128.8,71.53,33.59,0.0,52.45,5.0
2150.0,124.4,101.1,71.53,33.59,0.0,52.45,5.0
2187.0,124.4,101.1,71.53,33.59,0.0,52.45,5.0
2382.0,102.0,81.8,71.53,33.59,0.0,52.45,5.0
2382.0,102.0,81.8,71.53,33.59,0.0,52.45,5.0
2357.0,78.9,62.9,71.53,33.59,0.0,52.45,5.0
2357.0,78.9,62.9,71.53,33.59,0.0,52.45,5.0
2388.0,75.0,59.1,71.53,33.59,0.0,52.45,5.0
2287.0,195.4,86.0,81.36,31.53,0.0,56.74,5.0
2254.0,500.1,312.3,81.36,31.53,0.0,56.74,5.0
2263.0,650.1,521.6,81.36,31.53,0.0,56.74,5.0
2263.0,650.1,521.6,81.36,31.53,0.0,56.74,5.0
2235.0,758.0,656.1,81.36,31.53,0.0,56.74,5.0
2235.0,758.0,656.1,81.36,31.53,0.0,56.74,5.0
2168.0,781.0,694.4,81.36,31.53,0.0,56.74,5.0
2168.0,781.0,694.4,81.36,31.53,0.0,56.74,5.0
2149.0,803.9,717.4,81.36,31.53,0.0,56.74,5.0
2095.0,787.6,705.5,81.36,31.53,0.0,56.74,5.0
1997.0,760.0,683.1,81.36,31.53,0.0,56.74,5.0
1997.0,760.0,683.1,81.36,31.53,0.0,56.74,5.0
1975.0,702.2,633.9,81.36,31.53,0.0,56.74,5.0
1975.0,702.2,633.9,81.36,31.53,0.0,56.74,5.0
1974.0,640.0,577.8,81.36,31.53,0.0,56.74,5.0
1933.0,583.6,527.3,81.36,31.53,0.0,56.74,5.0
1919.0,515.0,464.7,81.36,31.53,0.0,56.74,5.0
1919.0,515.0,464.7,81.36,31.53,0.0,56.74,5.0
1984.0,455.8,410.0,81.36,31.53,0.0,56.74,5.0
1984.0,455.8,410.0,81.36,31.53,0.0,56.74,5.0
2076.0,394.5,353.6,81.36,31.53,0.0,56.74,5.0
1977.0,325.7,291.2,81.36,31.53,0.0,56.74,5.0
1957.0,270.6,242.0,81.36,31.53,0.0,56.74,5.0
1957.0,270.6,242.0,81.36,31.53,0.0,56.74,5.0
2120.0,238.6,209.5,81.36,31.53,0.0,56.74,5.0
2120.0,238.6,209.5,81.36,31.53,0.0,56.74,5.0
2066.0,212.7,186.8,81.36,31.53,0.0,56.74,5.0
2066.0,212.7,186.8,81.36,31.53,0.0,56.74,5.0
2023.0,184.1,162.1,81.36,31.53,0.0,56.74,5.0
2016.0,167.7,137.3,81.36,31.53,0.0,56.74,5.0
1950.0,161.7,122.7,81.36,31.53,0.0,56.74,5.0
1932.0,132.9,104.8,81.36,31.53,0.0,56.74,5.0
1932.0,132.9,104.8,81.36,31.53,0.0,56.74,5.0
2143.0,117.9,90.3,81.36,31.53,0.0,56.74,5.0
2076.0,108.9,84.1,81.36,31.53,0.0,56.74,5.0
2120.0,97.7,75.8,81.36,31.53,0.0,56.74,5.0
2120.0,97.7,75.8,81.36,31.53,0.0,56.74,5.0
2150.0,100.6,72.7,81.36,31.53,0.0,56.74,5.0
2145.0,91.7,67.5,81.36,31.53,0.0,56.74,5.0
2145.0,91.7,67.5,81.36,31.53,0.0,56.74,5.0
1997.0,80.9,58.4,81.36,31.53,0.0,56.74,5.0
1997.0,80.9,58.4,81.36,31.53,0.0,56.74,5.0
2033.0,78.8,55.4,81.36,31.53,0.0,56.74,5.0
1980.0,69.6,49.5,81.36,31.53,0.0,56.74,5.0
1983.0,72.4,48.3,81.36,31.53,0.0,56.74,5.0
2031.0,66.2,44.6,81.36,31.53,0.0,56.74,5.0
2045.0,65.1,42.3,81.36,31.53,0.0,56.74,5.0
2003.0,78.2,52.4,81.36,31.53,0.0,56.74,5.0
2003.0,78.2,52.4,81.36,31.53,0.0,56.74,5.0
1974.0,77.1,52.0,81.36,31.53,0.0,56.74,5.0
1974.0,77.1,52.0,81.36,31.53,0.0,56.74,5.0
1891.0,71.8,48.6,81.36,31.53,0.0,56.74,5.0
1891.0,71.8,48.6,81.36,31.53,0.0,56.74,5.0
1878.0,68.0,45.7,81.36,31.53,0.0,56.74,5.0
1878.0,68.0,45.7,81.36,31.53,0.0,56.74,5.0
1834.0,66.5,45.7,81.36,31.53,0.0,56.74,5.0
1835.0,69.8,49.2,81.36,31.53,0.0,56.74,5.0
1830.0,75.8,52.6,81.36,31.53,0.0,56.74,5.0
1799.0,75.7,54.9,81.36,31.53,0.0,56.74,5.0
1703.0,86.2,61.5,81.36,31.53,0.0,56.74,5.0
1722.0,87.6,61.9,81.36,31.53,0.0,56.74,5.0
1711.0,81.1,60.3,81.36,31.53,0.0,56.74,5.0
1711.0,81.1,60.3,81.36,31.53,0.0,56.74,5.0
1707.0,81.0,58.1,81.36,31.53,0.0,56.74,5.0
1707.0,81.0,58.1,81.36,31.53,0.0,56.74,5.0
1750.0,82.3,58.6,81.36,31.53,0.0,56.74,5.0
1750.0,82.3,58.6,81.36,31.53,0.0,56.74,5.0
1758.0,74.4,56.4,81.36,31.53,0.0,56.74,5.0
1758.0,74.4,56.4,81.36,31.53,0.0,56.74,5.0
1799.0,72.9,53.5,93.88,31.19,0.0,65.8,5.0
1799.0,72.9,53.5,93.88,31.19,0.0,65.8,5.0
1844.0,71.7,51.2,93.88,31.19,0.0,65.8,5.0
1755.0,70.2,47.7,93.88,31.19,0.0,65.8,5.0
1713.0,65.7,47.0,93.88,31.19,0.0,65.8,5.0
1713.0,65.7,47.0,93.88,31.19,0.0,65.8,5.0
1773.0,62.4,42.5,93.88,31.19,0.0,65.8,5.0
1773.0,62.4,42.5,93.88,31.19,0.0,65.8,5.0
1746.0,59.3,40.6,93.88,31.19,0.0,65.8,5.0
1746.0,59.3,40.6,93.88,31.19,0.0,65.8,5.0
1667.0,58.9,38.9,93.88,31.19,0.0,65.8,5.0
1655.0,54.6,39.4,93.88,31.19,0.0,65.8,5.0
1660.0,56.4,40.3,93.88,31.19,0.0,65.8,5.0
1603.0,53.9,39.2,93.88,31.19,0.0,65.8,5.0
1602.0,53.9,39.2,93.88,31.19,0.0,65.8,5.0
1561.0,52.7,35.7,93.88,31.19,0.0,65.8,5.0
1561.0,52.7,35.7,93.88,31.19,0.0,65.8,5.0
1516.0,47.3,33.3,93.88,31.19,0.0,65.8,5.0
1516.0,47.3,33.3,93.88,31.19,0.0,65.8,5.0
1470.0,43.1,32.8,93.88,31.19,0.0,65.8,5.0
1458.0,40.5,30.8,93.88,31.19,0.0,65.8,5.0
1408.0,38.7,28.7,93.88,31.19,0.0,65.8,5.0
1381.0,41.0,28.4,93.88,31.19,0.0,65.8,5.0
1378.0,31.5,26.0,93.88,31.19,0.0,65.8,5.0
1378.0,31.5,26.0,93.88,31.19,0.0,65.8,5.0
1373.0,33.8,27.0,93.88,31.19,0.0,65.8,5.0
1373.0,33.8,27.0,93.88,31.19,0.0,65.8,5.0
1427.0,33.0,25.0,93.88,31.19,0.0,65.8,5.0
1427.0,33.0,25.0,93.88,31.19,0.0,65.8,5.0
1437.0,30.8,24.0,93.88,31.19,0.0,65.8,5.0
1437.0,30.8,24.0,93.88,31.19,0.0,65.8,5.0
1469.0,31.8,23.8,93.88,31.19,0.0,65.8,5.0
1509.0,29.3,23.3,93.88,31.19,0.0,65.8,5.0
1602.0,35.0,23.3,93.88,31.19,0.0,65.8,5.0
1634.0,31.1,22.5,93.88,31.19,0.0,65.8,5.0
1634.0,31.1,22.5,93.88,31.19,0.0,65.8,5.0
1702.0,28.3,21.8,93.88,31.19,0.0,65.8,5.0
1702.0,28.3,21.8,93.88,31.19,0.0,65.8,5.0
1736.0,28.8,22.2,93.88,31.19,0.0,65.8,5.0
1736.0,28.8,22.2,93.88,31.19,0.0,65.8,5.0
1784.0,30.9,23.3,93.88,31.19,0.0,65.8,5.0
1980.0,28.8,21.3,93.88,31.19,0.0,65.8,5.0
1846.0,31.5,21.3,93.88,31.19,0.0,65.8,5.0
1850.0,32.4,21.0,93.88,31.19,0.0,65.8,5.0
1825.0,31.9,21.1,93.88,31.19,0.0,65.8,5.0
1825.0,31.9,21.1,93.88,31.19,0.0,65.8,5.0
1825.0,33.5,20.6,93.88,31.19,0.0,65.8,5.0
1825.0,33.5,20.6,93.88,31.19,0.0,65.8,5.0
1812.0,29.5,21.3,93.88,31.19,0.0,65.8,5.0
1812.0,29.5,21.3,93.88,31.19,0.0,65.8,5.0
1783.0,31.1,20.7,93.88,31.19,0.0,65.8,5.0
1783.0,31.1,20.7,93.88,31.19,0.0,65.8,5.0
1739.0,33.3,20.8,93.88,31.19,0.0,65.8,5.0
1774.0,29.5,20.4,93.88,31.19,0.0,65.8,5.0
1673.0,27.3,20.7,93.88,31.19,0.0,65.8,5.0
1653.0,27.3,20.7,93.88,31.19,0.0,65.8,5.0
928.0,18.5,13.4,93.88,31.19,0.0,65.8,4.0
928.0,18.5,13.4,93.88,31.19,0.0,65.8,4.0
920.0,17.3,12.2,93.88,31.19,0.0,65.8,4.0
400.0,425.2,378.7,75.1,45.93,0.69,103.95,1.0
400.0,425.5,378.9,75.1,45.93,0.69,103.95,1.0
400.0,425.5,378.9,75.1,45.93,0.69,103.95,1.0
400.0,423.2,377.0,75.1,45.93,0.69,103.95,1.0
483.0,423.2,372.5,75.1,45.93,0.69,103.95,1.0
483.0,418.1,372.5,75.1,45.93,0.69,103.95,1.0
496.0,410.6,365.8,75.1,45.93,0.69,103.95,2.0
496.0,410.6,365.8,75.1,45.93,0.69,103.95,2.0
648.0,402.1,358.3,75.1,45.93,0.69,103.95,2.0
409.0,274.7,244.4,75.1,45.93,0.69,103.95,1.0
430.0,236.4,208.7,75.1,45.93,0.69,103.95,1.0
430.0,236.4,208.7,75.1,45.93,0.69,103.95,1.0
434.0,228.2,200.6,75.1,45.93,0.69,103.95,1.0
434.0,228.2,200.6,75.1,45.93,0.69,103.95,1.0
584.0,245.0,218.6,75.1,45.93,0.69,103.95,2.0
461.0,324.7,290.3,75.1,45.93,0.69,103.95,1.0
461.0,324.7,290.3,75.1,45.93,0.69,103.95,1.0
796.0,131.3,117.1,75.1,45.93,0.69,103.95,2.0
849.0,191.9,171.9,75.1,45.93,0.69,103.95,3.0
849.0,191.9,171.9,75.1,45.93,0.69,103.95,3.0
812.0,216.9,194.7,75.1,45.93,0.69,103.95,3.0
763.0,136.7,122.6,75.1,45.93,0.69,103.95,3.0
763.0,136.7,122.6,75.1,45.93,0.69,103.95,3.0
672.0,163.7,146.3,75.1,45.93,0.69,103.95,2.0
672.0,163.7,146.3,75.1,45.93,0.69,103.95,2.0
629.0,81.9,73.7,75.1,45.93,0.69,103.95,2.0
629.0,81.9,73.7,75.1,45.93,0.69,103.95,2.0
645.0,63.2,57.0,75.1,45.93,0.69,103.95,2.0
645.0,63.2,57.0,75.1,45.93,0.69,103.95,2.0
592.0,56.0,50.5,75.1,45.93,0.69,103.95,2.0
549.0,53.5,48.1,75.1,45.93,0.69,103.95,2.0
549.0,53.5,48.1,75.1,45.93,0.69,103.95,2.0
517.0,51.2,46.2,75.1,45.93,0.69,103.95,2.0
517.0,51.2,46.2,75.1,45.93,0.69,103.95,2.0
530.0,55.1,49.7,75.1,45.93,0.69,103.95,2.0
530.0,55.1,49.7,75.1,45.93,0.69,103.95,2.0
538.0,50.9,45.8,75.1,45.93,0.69,103.95,2.0
538.0,50.9,45.8,75.1,45.93,0.69,103.95,2.0
518.0,46.8,42.2,75.1,45.93,0.69,103.95,2.0
525.0,49.9,45.1,75.1,45.93,0.69,103.95,2.0
525.0,49.9,45.1,75.1,45.93,0.69,103.95,2.0
507.0,47.3,42.8,75.1,45.93,0.69,103.95,2.0
502.0,48.2,43.5,75.1,45.93,0.69,103.95,2.0
508.0,46.0,41.5,75.1,45.93,0.69,103.95,2.0
508.0,46.0,41.5,75.1,45.93,0.69,103.95,2.0
495.0,43.0,38.8,75.1,45.93,0.69,103.95,2.0
502.0,42.1,37.9,75.1,45.93,0.69,103.95,2.0
506.0,48.6,43.8,75.1,45.93,0.69,103.95,2.0
506.0,48.6,43.8,75.1,45.93,0.69,103.95,2.0
526.0,45.5,41.0,75.1,45.93,0.69,103.95,2.0
526.0,45.5,41.0,75.1,45.93,0.69,103.95,2.0
480.0,44.1,39.8,75.1,45.93,0.69,103.95,2.0
483.0,41.9,37.9,75.1,45.93,0.69,103.95,2.0
511.0,41.9,37.9,75.1,45.93,0.69,103.95,2.0
551.0,36.1,32.6,75.1,45.93,0.69,103.95,2.0
551.0,36.1,32.6,75.1,45.93,0.69,103.95,2.0
553.0,35.8,32.3,75.1,45.93,0.69,103.95,2.0
510.0,40.6,36.6,75.1,45.93,0.69,103.95,2.0
498.0,42.0,38.0,75.1,45.93,0.69,103.95,2.0
506.0,41.1,37.2,75.1,45.93,0.69,103.95,2.0
506.0,41.1,37.2,75.1,45.93,0.69,103.95,2.0
460.0,38.2,34.5,75.1,45.93,0.69,103.95,1.0
405.0,39.7,35.9,75.1,45.93,0.69,103.95,1.0
405.0,39.7,35.9,75.1,45.93,0.69,103.95,1.0
418.0,40.4,36.4,75.1,45.93,0.69,103.95,1.0
510.0,32.3,29.2,75.1,45.93,0.69,103.95,2.0
488.0,31.4,28.4,75.1,45.93,0.69,103.95,1.0
488.0,31.4,28.4,75.1,45.93,0.69,103.95,1.0
454.0,35.2,31.8,75.1,45.93,0.69,103.95,1.0
454.0,35.2,31.8,75.1,45.93,0.69,103.95,1.0
452.0,51.4,46.5,75.1,45.93,0.69,103.95,1.0
452.0,51.4,46.5,75.1,45.93,0.69,103.95,1.0
462.0,50.0,45.3,53.2,43.53,0.93,85.83,1.0
462.0,50.0,45.3,53.2,43.53,0.93,85.83,1.0
474.0,40.2,36.4,53.2,43.53,0.93,85.83,1.0
474.0,40.2,36.4,53.2,43.53,0.93,85.83,1.0
427.0,38.7,35.1,53.2,43.53,0.93,85.83,1.0
409.0,40.0,36.1,53.2,43.53,0.93,85.83,1.0
400.0,37.3,33.6,53.2,43.53,0.93,85.83,1.0
400.0,37.3,33.6,53.2,43.53,0.93,85.83,1.0
400.0,35.0,31.5,53.2,43.53,0.93,85.83,1.0
400.0,29.8,26.8,53.2,43.53,0.93,85.83,1.0
400.0,29.8,26.8,53.2,43.53,0.93,85.83,1.0
400.0,24.2,21.8,53.2,43.53,0.93,85.83,1.0
400.0,24.2,21.8,53.2,43.53,0.93,85.83,1.0
446.0,22.0,19.8,53.2,43.53,0.93,85.83,1.0
458.0,22.7,20.5,53.2,43.53,0.93,85.83,1.0
476.0,22.7,20.5,53.2,43.53,0.93,85.83,1.0
435.0,28.5,25.7,53.2,43.53,0.93,85.83,1.0
403.0,26.7,24.2,53.2,43.53,0.93,85.83,1.0
417.0,22.7,20.4,53.2,43.53,0.93,85.83,1.0
417.0,22.7,20.4,53.2,43.53,0.93,85.83,1.0
431.0,22.1,19.9,53.2,43.53,0.93,85.83,1.0
430.0,22.2,20.0,53.2,43.53,0.93,85.83,1.0
425.0,19.6,17.7,53.2,43.53,0.93,85.83,1.0
439.0,20.5,18.5,53.2,43.53,0.93,85.83,1.0
439.0,20.5,18.5,53.2,43.53,0.93,85.83,1.0
472.0,18.6,16.7,53.2,43.53,0.93,85.83,1.0
479.0,22.2,20.0,53.2,43.53,0.93,85.83,2.0
479.0,22.2,20.0,53.2,43.53,0.93,85.83,2.0
505.0,22.1,19.9,53.2,43.53,0.93,85.83,2.0
505.0,22.1,19.9,53.2,43.53,0.93,85.83,2.0
578.0,23.4,21.0,53.2,43.53,0.93,85.83,2.0
578.0,23.4,21.0,53.2,43.53,0.93,85.83,2.0
598.0,23.7,21.2,53.2,43.53,0.93,85.83,2.0
605.0,26.0,23.4,53.2,43.53,0.93,85.83,2.0
618.0,29.5,26.5,53.2,43.53,0.93,85.83,2.0
646.0,29.4,26.5,53.2,43.53,0.93,85.83,2.0
646.0,29.4,26.5,53.2,43.53,0.93,85.83,2.0
698.0,36.1,32.6,53.2,43.53,0.93,85.83,2.0
698.0,36.1,32.6,53.2,43.53,0.93,85.83,2.0
738.0,42.5,38.3,53.2,43.53,0.93,85.83,3.0
