CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
400.0,11.5,9.1,1.98,39.76,4.38,33.38,1.0
400.0,11.5,9.1,1.98,39.76,4.38,33.38,1.0
400.0,11.5,9.1,1.98,39.76,4.38,33.38,1.0
427.0,44.1,27.1,1.98,39.76,4.38,33.38,1.0
427.0,44.1,27.1,1.98,39.76,4.38,33.38,1.0
462.0,44.1,27.0,1.98,39.76,4.38,33.38,1.0
409.0,44.3,27.2,1.98,39.76,4.38,33.38,1.0
409.0,44.3,27.2,1.98,39.76,4.38,33.38,1.0
401.0,44.6,27.3,1.98,39.76,4.38,33.38,1.0
411.0,44.8,27.5,1.98,39.76,4.38,33.38,1.0
411.0,44.8,27.5,1.98,39.76,4.38,33.38,1.0
448.0,44.4,27.5,1.98,39.76,4.38,33.38,1.0
489.0,43.4,30.7,1.98,39.76,4.38,33.38,2.0
459.0,35.6,30.8,1.98,39.76,4.38,33.38,2.0
459.0,35.6,30.8,1.98,39.76,4.38,33.38,2.0
594.0,31.4,27.2,1.98,39.76,4.38,33.38,2.0
487.0,29.8,25.4,1.98,39.76,4.38,33.38,1.0
487.0,29.8,25.4,1.98,39.76,4.38,33.38,1.0
539.0,32.4,26.0,1.98,39.76,4.38,33.38,2.0
459.0,95.6,71.6,1.98,39.76,4.38,33.38,1.0
516.0,100.3,75.2,1.98,39.76,4.38,33.38,2.0
516.0,100.3,75.2,1.98,39.76,4.38,33.38,2.0
493.0,86.0,67.9,1.98,39.76,4.38,33.38,2.0
485.0,88.7,69.4,1.98,39.76,4.38,33.38,1.0
485.0,88.7,69.4,1.98,39.76,4.38,33.38,1.0
469.0,53.9,42.4,1.98,39.76,4.38,33.38,1.0
447.0,54.6,43.8,1.98,39.76,4.38,33.38,1.0
433.0,52.1,41.7,1.98,39.76,4.38,33.38,1.0
433.0,52.1,41.7,1.98,39.76,4.38,33.38,1.0
419.0,52.1,41.8,1.98,39.76,4.38,33.38,1.0
400.0,50.6,41.0,1.98,39.76,4.38,33.38,1.0
400.0,50.6,41.0,1.98,39.76,4.38,33.38,1.0
403.0,45.6,35.5,1.98,39.76,4.38,33.38,1.0
